row      NDB_No  FdGrp_Cd                                          Long_Desc  VITA_RAE
7816   28008      1800      KELLOGG'S, EGGO, Wafflers, Strawberry Strudel     395.0
2994   11245      1100  Lambsquarters, cooked, boiled, drained, withou...     391.0
3410   11794      1100  Lambsquarters, cooked, boiled, drained, with salt     391.0
293     2045       200              Dill weed, fresh (Anethum graveolens)     386.0
1810    8060       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISI...     386.0
8045   28243      1800           SUNSHINE, CHEEZ-IT, Hot & Spicy Crackers     384.0
3353   11736      1100    Beet greens, cooked, boiled, drained, with salt     383.0
2867   11087      1100  Beet greens, cooked, boiled, drained, without ...     383.0
5851   18365      1800              Waffles, plain, frozen, ready-to-heat     381.0
3243   11569      1100  Turnip greens, cooked, boiled, drained, withou...     381.0
5921   18479      1800  Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS...     381.0
3502   11891      1100  Turnip greens, cooked, boiled, drained, with salt     381.0
2927   11162      1100    Collards, cooked, boiled, drained, without salt     380.0
3385   11768      1100       Collards, cooked, boiled, drained, with salt     380.0
1811    8061       800      Cereals ready-to-eat, POST Raisin Bran Cereal     380.0
2973   11222      1100           Drumstick leaves, raw (Moringa oleifera)     378.0
8629   42297       800  Cereals ready-to-eat, POST GREAT GRAINS Banana...     378.0
3292   11645      1100  Sweet potato, canned, syrup pack, solids and l...     377.0
1919    8284       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S Low F...     375.0
3005   11257      1100  Lettuce, red leaf, raw (Lactuca sativa var. cr...     375.0
3002   11253      1100  Lettuce, green leaf, raw (Lactuca sativa var. ...     370.0
7979   28176      1800  KELLOGG'S, POP-TARTS, Frosted Wild Grape Toast...     370.0
5927   18489      1800  Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS...     368.0
7967   28163      1800  KELLOGG'S, POP-TARTS, Frosted Apple Strudel To...     363.0
1891    8216       800  Cereals ready-to-eat, QUAKER, Toasted Multigra...     359.0
1889    8214       800      Cereals ready-to-eat, QUAKER, Oatmeal Squares     356.0
2944   11190      1100              Cornsalad, raw (Valerianella locusta)     355.0
7971   28168      1800  KELLOGG'S, POP-TARTS, Frosted Confetti Cake To...     355.0
1890    8215       800  Cereals ready-to-eat, QUAKER, Oatmeal Squares,...     354.0
3020   11273      1100  Mustard greens, frozen, cooked, boiled, draine...     354.0
3416   11800      1100  Mustard greens, frozen, cooked, boiled, draine...     354.0
2974   11223      1100  Drumstick leaves, cooked, boiled, drained, wit...     351.0
3402   11786      1100  Drumstick leaves, cooked, boiled, drained, wit...     351.0
3301   11659      1100       Sweet potato, cooked, candied, home-prepared     349.0
2955   11203      1100              Cress, garden, raw (Lepidium sativum)     346.0
3432   11816      1100  Peas and carrots, canned, no salt added, solid...     343.0
2960   11208      1100  Dandelion greens, cooked, boiled, drained, wit...     342.0
2930   11165      1100  Coriander (cilantro) leaves, raw (Coriandrum s...     337.0
3192   11490      1100       Squash, winter, hubbard, baked, without salt     335.0
3482   11868      1100          Squash, winter, hubbard, baked, with salt     335.0
6045   18997      1800   KELLOGG'S, EGGO, French Toaster Sticks, Cinnamon     334.0
6046   18998      1800   KELLOGG'S, EGGO, French Toaster Sticks, Original     334.0
6047   18999      1800       KELLOGG'S, EGGO, Mini Muffin Tops, Blueberry     326.0
7808   28000      1800  KELLOGG'S, EGGO, Mini Muffin Tops, Chocolate Chip     326.0
