Ferum/Iron values are in mg per 100g
Daily needed value is 18mg

      NDB_No  FdGrp_Cd                                          Long_Desc      FE
2094    8687       800  Cereals, QUAKER, Weight Control Instant Oatmea...    8.78
7745   25055      2500  Snacks, granola bar, GENERAL MILLS, NATURE VAL...    8.71
4754   16016      1600  Beans, black turtle, mature seeds, raw (Phaseo...    8.70
4773   16035      1600  Beans, kidney, royal red, mature seeds, raw (P...    8.70
4868   16133      1600  Yardlong beans, mature seeds, raw (Vigna unigu...    8.61
4849   16113      1600                                              Natto    8.60
6380   19439      2500  Snacks, KELLOGG, KELLOGG'S Low Fat Granola Bar...    8.60
2106    8700       800  Cereals ready-to-eat, KELLOGG RAISIN BRAN with...    8.50
1943    8380       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S, RAIS...    8.50
6487   20017      2000                  Corn flour, masa, enriched, white    8.50
6597   20317      2000                 Corn flour, yellow, masa, enriched    8.50
1851    8128       800  Cereals, oats, instant, fortified, with cinnam...    8.46
1801    8046       800       Cereals ready-to-eat, POST, Honeycomb Cereal    8.44
7972   28169      1800  KELLOGG'S, POP-TARTS, Frosted Cookies & Creme ...    8.40
8186   28385      1800       PEPPERIDGE FARM, Jewish Rye Bread (Seedless)    8.40
1940    8366       800  Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER ...    8.34
259     2010       200   Spices, cinnamon, ground (Cinnamomum aromaticum)    8.32
1954    8410       800  Cereals, QUAKER, Instant Oatmeal, Cinnamon-Spi...    8.31
4800   16062      1600  Cowpeas, common (blackeyes, crowder, southern)...    8.27
1853    8130       800  Cereals, QUAKER, Instant Oatmeal, maple and br...    8.22
