row      NDB_No  FdGrp_Cd                                          Long_Desc    DHA
8646   43027      1900  Jellies, no sugar (with sodium saccharin), any...  0.000
8645   43026      1900                                 Syrups, sugar free  0.000
8660   43114      1600                          Vermicelli, made from soy  0.000
8662   43128      1600                                  Chicken, meatless  0.000
8663   43130      1600                              Frankfurter, meatless  0.000
8677   43212      1600                               Bacon bits, meatless  0.000
8675   43158      1900  Sweeteners, tabletop, saccharin (sodium saccha...  0.000
8672   43146      1100                                  Eggplant, pickled  0.000
8671   43144      1100                           Cabbage, mustard, salted  0.000
8670   43143      1100            Cabbage, japanese style, fresh, pickled  0.000
8669   43142      1100                  Radishes, hawaiian style, pickled  0.000
8668   43137      1600                     Vegetarian meatloaf or patties  0.000
8667   43135      1600                          Sandwich spread, meatless  0.000
8666   43134      1600                                 Vegetarian fillets  0.000
8665   43132      1600                                Meatballs, meatless  0.000
8664   43131      1600                          Luncheon slices, meatless  0.000
8613   42265       800  Cereals ready-to-eat, POST, GREAT GRAINS, Rais...  0.000
8612   42261       800  Cereals ready-to-eat, POST, GREAT GRAINS Crunc...  0.000
8608   42240       800  Cereals ready-to-eat, POST, HONEY BUNCHES OF O...  0.000
8607   42237       800  Cereals ready-to-eat, WEETABIX whole grain cereal  0.000
